"MIME Type","File Extension(s)"
"application/vnd.hc+json",""
"application/vnd.hcl-bireports",""
"application/vnd.hdt",".hdt"
"application/vnd.heroku+json",".heroku.json"
"application/vnd.hhe.lesson-player",".les"
"application/vnd.hp-HPGL",".hpgl"
"application/vnd.hp-hpid",".hpid"
"application/vnd.hp-hps",".hps"
"application/vnd.hp-jlyt",".jlt"
"application/vnd.hp-PCL",".pcl"
"application/vnd.hp-PCLXL",".pclxl"
"application/vnd.httphone",""
"application/vnd.hydrostatix.sof-data",".sfd-hdstx"
"application/vnd.hyper+json",""
"application/vnd.hyper-item+json",""
"application/vnd.hyperdrive+json",""
"application/vnd.hzn-3d-crossword",".x3d"
"application/vnd.ibm.afplinedata",""
"application/vnd.ibm.electronic-media",""
"application/vnd.ibm.minipay",".mpy"
"application/vnd.ibm.modcap",".afp,.listafp,.list3820"
"application/vnd.ibm.rights-management",".irm"
"application/vnd.ibm.secure-container",".sc"
"application/vnd.iccprofile",".icc,.icm"
"application/vnd.ieee.1905",""
"application/vnd.igloader",".igl"
"application/vnd.imagemeter.folder+zip",""
"application/vnd.imagemeter.image+zip",""
"application/vnd.immervision-ivp",".ivp"
"application/vnd.immervision-ivu",".ivu"
"application/vnd.ims.imsccv1p1",""
"application/vnd.ims.imsccv1p2",""
"application/vnd.ims.imsccv1p3",""
"application/vnd.ims.lis.v2.result+json",""
"application/vnd.ims.lti.v2.toolconsumerprofile+json",""
"application/vnd.ims.lti.v2.toolproxy.id+json",""
"application/vnd.ims.lti.v2.toolproxy+json",""
"application/vnd.ims.lti.v2.toolsettings+json",""
"application/vnd.ims.lti.v2.toolsettings.simple+json",""
"application/vnd.informedcontrol.rms+xml",""
"application/vnd.informix-visionary",""
"application/vnd.infotech.project",""
"application/vnd.infotech.project+xml",""
"application/vnd.innopath.wamp.notification",""
"application/vnd.insors.igm",".igm"
"application/vnd.intercon.formnet",".xpw,.xpx"
"application/vnd.intergeo",".i2g"
"application/vnd.intertrust.digibox",""
"application/vnd.intertrust.nncp",""
"application/vnd.intu.qbo",".qbo"
"application/vnd.intu.qfx",".qfx"
"application/vnd.iptc.g2.catalogitem+xml",""
"application/vnd.iptc.g2.conceptitem+xml",""
"application/vnd.iptc.g2.knowledgeitem+xml",""
"application/vnd.iptc.g2.newsitem+xml",""
"application/vnd.iptc.g2.newsmessage+xml",""
"application/vnd.iptc.g2.packageitem+xml",""
"application/vnd.iptc.g2.planningitem+xml",""
"application/vnd.ipunplugged.rcprofile",".rcprofile"
"application/vnd.irepository.package+xml",".irp"
"application/vnd.is-xpr",".xpr"
"application/vnd.isac.fcs",".fcs"
"application/vnd.jam",".jam"
"application/vnd.iso11783-10+zip",""
"application/vnd.japannet-directory-service",""
"application/vnd.japannet-jpnstore-wakeup",""
"application/vnd.japannet-payment-wakeup",""
"application/vnd.japannet-registration",""
"application/vnd.japannet-registration-wakeup",""
"application/vnd.japannet-setstore-wakeup",""
"application/vnd.japannet-verification",""
"application/vnd.japannet-verification-wakeup",""
"application/vnd.jcp.javame.midlet-rms",".rms"
"application/vnd.jisp",".jisp"
"application/vnd.joost.joda-archive",".joda"
"application/vnd.jsk.isdn-ngn",""
"application/vnd.kahootz",".ktz,.ktr"
"application/vnd.kde.karbon",".karbon"
"application/vnd.kde.kchart",".chrt"
"application/vnd.kde.kformula",".kfo"
"application/vnd.kde.kivio",".flw"
"application/vnd.kde.kontour",".kon"
"application/vnd.kde.kpresenter",".kpr,.kpt"
"application/vnd.kde.kspread",".ksp"
"application/vnd.kde.kword",".kwd,.kwt"
"application/vnd.kenameaapp",".htke"
"application/vnd.kidspiration",".kia"
"application/vnd.kinar",".kne,.knp"
"application/vnd.koan",".skp,.skd,.skt,.skm"
"application/vnd.kodak-descriptor",".sse"
"application/vnd.las",".lasxml"
"application/vnd.las.las+json",""
"application/vnd.las.las+xml",".las"
"application/vnd.laszip",".laz"
"application/vnd.leap+json",""
"application/vnd.liberty-request+xml",""
"application/vnd.llamagraphics.life-balance.desktop",".lbd"
"application/vnd.llamagraphics.life-balance.exchange+xml",".lbe"
"application/vnd.logipipe.circuit+zip",""
"application/vnd.loom",""
"application/vnd.lotus-1-2-3",".123"
"application/vnd.lotus-approach",".apr"
"application/vnd.lotus-freelance",".pre"
"application/vnd.lotus-notes",".nsf"
"application/vnd.lotus-organizer",".org"
"application/vnd.lotus-screencam",".scm"
"application/vnd.lotus-wordpro",".lwp"
"application/vnd.macports.portpkg",".portpkg"
"application/vnd.mapbox-vector-tile",".mvt"
"application/vnd.marlin.drm.actiontoken+xml",""
"application/vnd.marlin.drm.conftoken+xml",""
"application/vnd.marlin.drm.license+xml",""
"application/vnd.marlin.drm.mdcf",""
"application/vnd.mason+json",".mason.json"
"application/vnd.maxmind.maxmind-db",".mmdb"
"application/vnd.mcd",".mcd"
"application/vnd.medcalcdata",".mc1"
"application/vnd.mediastation.cdkey",".cdkey"
"application/vnd.meridian-slingshot",""
"application/vnd.MFER",".mwf"
"application/vnd.mfmp",".mfm"
"application/vnd.micro+json",""
"application/vnd.micrografx.flo",".flo"
"application/vnd.micrografx.igx",".igx"
"application/vnd.microsoft.portable-executable",""
"application/vnd.microsoft.windows.thumbnail-cache",""
"application/vnd.miele+json",""
"application/vnd.mif",".mif"
"application/vnd.minisoft-hp3000-save",""
"application/vnd.mitsubishi.misty-guard.trustweb",""
"application/vnd.Mobius.DAF",".daf"
"application/vnd.Mobius.DIS",".dis"
"application/vnd.Mobius.MBK",".mbk"
"application/vnd.Mobius.MQY",".mqy"
"application/vnd.Mobius.MSL",".msl"
"application/vnd.Mobius.PLC",".plc"
"application/vnd.Mobius.TXF",".txf"
"application/vnd.mophun.application",".mpn"
"application/vnd.mophun.certificate",".mpc"
"application/vnd.motorola.flexsuite",""
"application/vnd.motorola.flexsuite.adsi",""
"application/vnd.motorola.flexsuite.fis",""
"application/vnd.motorola.flexsuite.gotap",""
"application/vnd.motorola.flexsuite.kmr",""
"application/vnd.motorola.flexsuite.ttc",""
"application/vnd.motorola.flexsuite.wem",""
"application/vnd.motorola.iprm",""
"application/vnd.mozilla.xul+xml",".xul"
"application/vnd.ms-3mfdocument",".3mf"
"application/vnd.ms-artgalry",".cil"
"application/vnd.ms-asf",""
"application/vnd.ms-cab-compressed",".cab"
"application/vnd.ms-color.iccprofile",""
"application/vnd.ms-excel",".xls,.xlm,.xla,.xlc,.xlt,.xlw"
"application/vnd.ms-excel.addin.macroEnabled.12",".xlam"
"application/vnd.ms-excel.sheet.binary.macroEnabled.12",".xlsb"
"application/vnd.ms-excel.sheet.macroEnabled.12",".xlsm"
"application/vnd.ms-excel.template.macroEnabled.12",".xltm"
"application/vnd.ms-fontobject",".eot"
"application/vnd.ms-htmlhelp",".chm"
"application/vnd.ms-ims",".ims"
"application/vnd.ms-lrm",".lrm"
"application/vnd.ms-office.activeX+xml",""
"application/vnd.ms-officetheme",".thmx"
"application/vnd.ms-opentype",".otf"
"application/vnd.ms-package.obfuscated-opentype",""
"application/vnd.ms-pki.seccat",".cat"
"application/vnd.ms-pki.stl",".stl"
"application/vnd.ms-playready.initiator+xml",""
"application/vnd.ms-powerpoint",".ppt,.pps,.pot"
"application/vnd.ms-powerpoint.addin.macroEnabled.12",".ppam"
"application/vnd.ms-powerpoint.presentation.macroEnabled.12",".pptm"
"application/vnd.ms-powerpoint.slide.macroEnabled.12",".sldm"
"application/vnd.ms-powerpoint.slideshow.macroEnabled.12",".ppsm"
"application/vnd.ms-powerpoint.template.macroEnabled.12",".potm"
"application/vnd.ms-printdevicecapabilities+xml",""
"application/vnd.ms-printing.printticket+xml",""
"application/vnd.ms-printschematicket+xml",""
"application/vnd.ms-project",".mpp,.mpt"
"application/vnd.ms-tnef",""
"application/vnd.ms-windows.devicepairing",""
"application/vnd.ms-windows.nwprinting.oob",""
"application/vnd.ms-windows.printerpairing",""
"application/vnd.ms-windows.wsd.oob",""
"application/vnd.ms-wmdrm.lic-chlg-req",""
"application/vnd.ms-wmdrm.lic-resp",""
"application/vnd.ms-wmdrm.meter-chlg-req",""
"application/vnd.ms-wmdrm.meter-resp",""
"application/vnd.ms-word.document.macroEnabled.12",".docm"
"application/vnd.ms-word.template.macroEnabled.12",".dotm"
"application/vnd.ms-works",".wps,.wks,.wcm,.wdb"
"application/vnd.ms-wpl",".wpl"
"application/vnd.ms-xpsdocument",".xps"
"application/vnd.msa-disk-image",""
"application/vnd.mseq",".mseq"
"application/vnd.msign",""
"application/vnd.multiad.creator",""
"application/vnd.multiad.creator.cif",""
"application/vnd.music-niff",""
"application/vnd.musician",".mus"
"application/vnd.muvee.style",".msty"
"application/vnd.mynfc",".taglet"
"application/vnd.ncd.control",""
"application/vnd.ncd.reference",""
"application/vnd.nearst.inv+json",""
"application/vnd.nebumind.line",""
"application/vnd.nervana",""
"application/vnd.netfpx",".npx"
"application/vnd.neurolanguage.nlu",".nlu"
"application/vnd.nimn",""
"application/vnd.nintendo.nitro.rom",""
"application/vnd.nintendo.snes.rom",""
"application/vnd.nitf",".ntf,.nitf"
"application/vnd.noblenet-directory",".nnd"
"application/vnd.noblenet-sealer",".nns"
"application/vnd.noblenet-web",".nnw"
"application/vnd.nokia.catalogs",""
"application/vnd.nokia.conml+wbxml",""
"application/vnd.nokia.conml+xml",""
"application/vnd.nokia.iptv.config+xml",""
"application/vnd.nokia.isds-radio-presets",""
"application/vnd.nokia.landmark+wbxml",""
"application/vnd.nokia.landmark+xml",""
"application/vnd.nokia.landmarkcollection+xml",""
"application/vnd.nokia.n-gage.ac+xml",""
"application/vnd.nokia.n-gage.data",".ngdat"
"application/vnd.nokia.n-gage.symbian.install",".n-gage"
"application/vnd.nokia.ncd",""
"application/vnd.nokia.pcd+wbxml",""
"application/vnd.nokia.pcd+xml",""
"application/vnd.nokia.radio-preset",".rpst"
"application/vnd.nokia.radio-presets",".rpss"
"application/vnd.novadigm.EDM",".edm"
"application/vnd.novadigm.EDX",".edx"
"application/vnd.novadigm.EXT",".ext"
"application/vnd.ntt-local.content-share",""
"application/vnd.ntt-local.file-transfer",""
"application/vnd.ntt-local.ogw_remote-access",""
"application/vnd.ntt-local.sip-ta_remote",""
"application/vnd.ntt-local.sip-ta_tcp_stream",""
"application/vnd.oasis.opendocument.chart",".odc"
"application/vnd.oasis.opendocument.chart-template",".otc"
"application/vnd.oasis.opendocument.database",".odb"
"application/vnd.oasis.opendocument.formula",".odf"
"application/vnd.oasis.opendocument.formula-template",".odft"
"application/vnd.oasis.opendocument.graphics",".odg"
"application/vnd.oasis.opendocument.graphics-template",".otg"
"application/vnd.oasis.opendocument.image",".odi"
"application/vnd.oasis.opendocument.image-template",".oti"
"application/vnd.oasis.opendocument.presentation",".odp"
"application/vnd.oasis.opendocument.presentation-template",".otp"
"application/vnd.oasis.opendocument.spreadsheet",".ods"
"application/vnd.oasis.opendocument.spreadsheet-template",".ots"
"application/vnd.oasis.opendocument.text",".odt"
"application/vnd.oasis.opendocument.text-master",".odm"
"application/vnd.oasis.opendocument.text-template",".ott"
"application/vnd.oasis.opendocument.text-web",".oth"
"application/vnd.obn",""
"application/vnd.ocf+cbor",""
"application/vnd.oci.image.manifest.v1+json",""
"application/vnd.oftn.l10n+json",""
"application/vnd.oipf.contentaccessdownload+xml",""
"application/vnd.oipf.contentaccessstreaming+xml",""
"application/vnd.oipf.cspg-hexbinary",""
"application/vnd.oipf.dae.svg+xml",""
"application/vnd.oipf.dae.xhtml+xml",""
"application/vnd.oipf.mippversion+xml",""
"application/vnd.oipf.pae.gem",""
"application/vnd.oipf.spdiscovery+xml",""
"application/vnd.oipf.spdlist+xml",""
"application/vnd.oipf.ueprofile+xml",""
"application/vnd.oipf.userprofile+xml",""
"application/vnd.olpc-sugar",".xo"
"application/vnd.oma-scws-config",""
"application/vnd.oma-scws-http-request",""
"application/vnd.oma-scws-http-response",""
"application/vnd.oma.bcast.associated-procedure-parameter+xml",""
"application/vnd.oma.bcast.drm-trigger+xml",""
"application/vnd.oma.bcast.imd+xml",""
"application/vnd.oma.bcast.ltkm",""
"application/vnd.oma.bcast.notification+xml",""
"application/vnd.oma.bcast.provisioningtrigger",""
"application/vnd.oma.bcast.sgboot",""
"application/vnd.oma.bcast.sgdd+xml",""
"application/vnd.oma.bcast.sgdu",""
"application/vnd.oma.bcast.simple-symbol-container",""
"application/vnd.oma.bcast.smartcard-trigger+xml",""
"application/vnd.oma.bcast.sprov+xml",""
"application/vnd.oma.bcast.stkm",""
"application/vnd.oma.cab-address-book+xml",""
"application/vnd.oma.cab-feature-handler+xml",""
"application/vnd.oma.cab-pcc+xml",""
"application/vnd.oma.cab-subs-invite+xml",""
"application/vnd.oma.cab-user-prefs+xml",""
"application/vnd.oma.dcd",""
"application/vnd.oma.dcdc",""
"application/vnd.oma.dd2+xml",".dd2"
"application/vnd.oma.drm.risd+xml",""
"application/vnd.oma.group-usage-list+xml",""
"application/vnd.oma.lwm2m+cbor",""
"application/vnd.oma.lwm2m+json",""
"application/vnd.oma.lwm2m+tlv",""
"application/vnd.oma.pal+xml",""
"application/vnd.oma.poc.detailed-progress-report+xml",""
"application/vnd.oma.poc.final-report+xml",""
"application/vnd.oma.poc.groups+xml",""
"application/vnd.oma.poc.invocation-descriptor+xml",""
"application/vnd.oma.poc.optimized-progress-report+xml",""
"application/vnd.oma.push",""
"application/vnd.oma.scidm.messages+xml",""
"application/vnd.oma.xcap-directory+xml",""
"application/vnd.omads-email+xml",""
"application/vnd.omads-file+xml",""
"application/vnd.omads-folder+xml",""
"application/vnd.omaloc-supl-init",""
"application/vnd.onepager",""
"application/vnd.onepagertamp",""
"application/vnd.onepagertamx",""
"application/vnd.onepagertat",""
"application/vnd.onepagertatp",""
"application/vnd.onepagertatx",""
"application/vnd.openblox.game-binary",""
"application/vnd.openblox.game+xml",""
"application/vnd.openeye.oeb",""
"application/vnd.openofficeorg.extension",".oxt"
"application/vnd.openstreetmap.data+xml",".osm"
"application/vnd.opentimestamps.ots",".ots"
"application/vnd.openxmlformats-officedocument.custom-properties+xml",""
"application/vnd.openxmlformats-officedocument.customXmlProperties+xml",""
"application/vnd.openxmlformats-officedocument.drawing+xml",""
"application/vnd.openxmlformats-officedocument.drawingml.chart+xml",""
"application/vnd.openxmlformats-officedocument.drawingml.chartshapes+xml",""
"application/vnd.openxmlformats-officedocument.drawingml.diagramColors+xml",""
"application/vnd.openxmlformats-officedocument.drawingml.diagramData+xml",""
"application/vnd.openxmlformats-officedocument.drawingml.diagramLayout+xml",""
"application/vnd.openxmlformats-officedocument.drawingml.diagramStyle+xml",""
"application/vnd.openxmlformats-officedocument.extended-properties+xml",""
"application/vnd.openxmlformats-officedocument.presentationml.commentAuthors+xml",""
"application/vnd.openxmlformats-officedocument.presentationml.comments+xml",""
"application/vnd.openxmlformats-officedocument.presentationml.handoutMaster+xml",""
"application/vnd.openxmlformats-officedocument.presentationml.notesMaster+xml",""
"application/vnd.openxmlformats-officedocument.presentationml.notesSlide+xml",""
"application/vnd.openxmlformats-officedocument.presentationml.presentation",".pptx"
"application/vnd.openxmlformats-officedocument.presentationml.presentation.main+xml",""
"application/vnd.openxmlformats-officedocument.presentationml.presProps+xml",""
"application/vnd.openxmlformats-officedocument.presentationml.slide",".sldx"
"application/vnd.openxmlformats-officedocument.presentationml.slide+xml",""
"application/vnd.openxmlformats-officedocument.presentationml.slideLayout+xml",""
"application/vnd.openxmlformats-officedocument.presentationml.slideMaster+xml",""
"application/vnd.openxmlformats-officedocument.presentationml.slideshow",".ppsx"
"application/vnd.openxmlformats-officedocument.presentationml.slideshow.main+xml",""
"application/vnd.openxmlformats-officedocument.presentationml.slideUpdateInfo+xml",""
"application/vnd.openxmlformats-officedocument.presentationml.tableStyles+xml",""
"application/vnd.openxmlformats-officedocument.presentationml.tags+xml",""
"application/vnd.openxmlformats-officedocument.presentationml.template",".potx"
"application/vnd.openxmlformats-officedocument.presentationml.template.main+xml",""
"application/vnd.openxmlformats-officedocument.presentationml.viewProps+xml",""
"application/vnd.openxmlformats-officedocument.spreadsheetml.calcChain+xml",""
"application/vnd.openxmlformats-officedocument.spreadsheetml.chartsheet+xml",""
"application/vnd.openxmlformats-officedocument.spreadsheetml.comments+xml",""
"application/vnd.openxmlformats-officedocument.spreadsheetml.connections+xml",""
"application/vnd.openxmlformats-officedocument.spreadsheetml.dialogsheet+xml",""
"application/vnd.openxmlformats-officedocument.spreadsheetml.externalLink+xml",""
"application/vnd.openxmlformats-officedocument.spreadsheetml.pivotCacheDefinition+xml",""
"application/vnd.openxmlformats-officedocument.spreadsheetml.pivotCacheRecords+xml",""
"application/vnd.openxmlformats-officedocument.spreadsheetml.pivotTable+xml",""
"application/vnd.openxmlformats-officedocument.spreadsheetml.queryTable+xml",""
"application/vnd.openxmlformats-officedocument.spreadsheetml.revisionHeaders+xml",""
"application/vnd.openxmlformats-officedocument.spreadsheetml.revisionLog+xml",""
"application/vnd.openxmlformats-officedocument.spreadsheetml.sharedStrings+xml",""
"application/vnd.openxmlformats-officedocument.spreadsheetml.sheet",".xlsx"
"application/vnd.openxmlformats-officedocument.spreadsheetml.sheet.main+xml",""
"application/vnd.openxmlformats-officedocument.spreadsheetml.sheetMetadata+xml",""
"application/vnd.openxmlformats-officedocument.spreadsheetml.styles+xml",""
"application/vnd.openxmlformats-officedocument.spreadsheetml.table+xml",""
"application/vnd.openxmlformats-officedocument.spreadsheetml.tableSingleCells+xml",""
"application/vnd.openxmlformats-officedocument.spreadsheetml.template",".xltx"
"application/vnd.openxmlformats-officedocument.spreadsheetml.template.main+xml",""
"application/vnd.openxmlformats-officedocument.spreadsheetml.userNames+xml",""
"application/vnd.openxmlformats-officedocument.spreadsheetml.volatileDependencies+xml",""
"application/vnd.openxmlformats-officedocument.spreadsheetml.worksheet+xml",""
"application/vnd.openxmlformats-officedocument.theme+xml",""
"application/vnd.openxmlformats-officedocument.themeOverride+xml",""
"application/vnd.openxmlformats-officedocument.vmlDrawing",""
"application/vnd.openxmlformats-officedocument.wordprocessingml.comments+xml",""
"application/vnd.openxmlformats-officedocument.wordprocessingml.document",".docx"
"application/vnd.openxmlformats-officedocument.wordprocessingml.document.glossary+xml",""
"application/vnd.openxmlformats-officedocument.wordprocessingml.document.main+xml",""
"application/vnd.openxmlformats-officedocument.wordprocessingml.endnotes+xml",""
"application/vnd.openxmlformats-officedocument.wordprocessingml.fontTable+xml",""
"application/vnd.openxmlformats-officedocument.wordprocessingml.footer+xml",""
"application/vnd.openxmlformats-officedocument.wordprocessingml.footnotes+xml",""
"application/vnd.openxmlformats-officedocument.wordprocessingml.numbering+xml",""
"application/vnd.openxmlformats-officedocument.wordprocessingml.settings+xml",""
"application/vnd.openxmlformats-officedocument.wordprocessingml.styles+xml",""
"application/vnd.openxmlformats-officedocument.wordprocessingml.template",".dotx"
"application/vnd.openxmlformats-officedocument.wordprocessingml.template.main+xml",""
"application/vnd.openxmlformats-officedocument.wordprocessingml.webSettings+xml",""
"application/vnd.openxmlformats-package.core-properties+xml",""
"application/vnd.openxmlformats-package.digital-signature-xmlsignature+xml",""
"application/vnd.openxmlformats-package.relationships+xml",""
"application/vnd.oracle.resource+json",""
"application/vnd.orange.indata",""
"application/vnd.osa.netdeploy",""
"application/vnd.osgeo.mapguide.package",".mgp"
"application/vnd.osgi.bundle",""
"application/vnd.osgi.dp",".dp"
"application/vnd.osgi.subsystem",".esa"
"application/vnd.otps.ct-kip+xml",""
"application/vnd.oxli.countgraph",""
"application/vnd.pagerduty+json",""
"application/vnd.palm",".pdb,.pqa,.oprc"
"application/vnd.panoply",""
"application/vnd.paos.xml",""
"application/vnd.patentdive",""
"application/vnd.patientecommsdoc",""
"application/vnd.pawaafile",".paw"
"application/vnd.pcos",""
"application/vnd.pg.format",".str"
"application/vnd.pg.osasli",".ei6"
"application/vnd.piaccess.application-licence",""
"application/vnd.picsel",".efif"
"application/vnd.pmi.widget",".wg"
"application/vnd.poc.group-advertisement+xml",""
"application/vnd.pocketlearn",".plf"
"application/vnd.powerbuilder6",".pbd"
"application/vnd.powerbuilder6-s",""
"application/vnd.powerbuilder7",""
"application/vnd.powerbuilder7-s",""
"application/vnd.powerbuilder75",""
"application/vnd.powerbuilder75-s",""
"application/vnd.preminet",""
"application/vnd.previewsystems.box",".box"
"application/vnd.proteus.magazine",".mgz"
"application/vnd.psfs",""
"application/vnd.publishare-delta-tree",".qps"
"application/vnd.pvi.ptid1",".ptid"
"application/vnd.pwg-multiplexed",""
"application/vnd.pwg-xhtml-print+xml",""
"application/vnd.qualcomm.brew-app-res",""
"application/vnd.quarantainenet",""
"application/vnd.Quark.QuarkXPress",".qxd,.qxt,.qwd,.qwt,.qxl,.qxb"
"application/vnd.quobject-quoxdocument",""
"application/vnd.radisys.moml+xml",""
"application/vnd.radisys.msml+xml",""
"application/vnd.radisys.msml-audit+xml",""
"application/vnd.radisys.msml-audit-conf+xml",""
"application/vnd.radisys.msml-audit-conn+xml",""
"application/vnd.radisys.msml-audit-dialog+xml",""
"application/vnd.radisys.msml-audit-stream+xml",""
"application/vnd.radisys.msml-conf+xml",""
"application/vnd.radisys.msml-dialog+xml",""
"application/vnd.radisys.msml-dialog-base+xml",""
"application/vnd.radisys.msml-dialog-fax-detect+xml",""
"application/vnd.radisys.msml-dialog-fax-sendrecv+xml",""
"application/vnd.radisys.msml-dialog-group+xml",""
"application/vnd.radisys.msml-dialog-speech+xml",""
"application/vnd.radisys.msml-dialog-transform+xml",""
"application/vnd.rainstor.data",""
"application/vnd.rapid",""
"application/vnd.rar",".rar"
"application/vnd.realvnc.bed",".bed"
"application/vnd.recordare.musicxml",".mxl"
"application/vnd.recordare.musicxml+xml",".musicxml"
"application/vnd.RenLearn.rlprint",""
"application/vnd.resilient.logic",""
"application/vnd.restful+json",""
"application/vnd.rig.cryptonote",".cryptonote"
"application/vnd.rim.cod",".cod"
"application/vnd.rn-realmedia",".rm"
"application/vnd.rn-realmedia-vbr",".rmvb"
"application/vnd.route66.link66+xml",".link66"
"application/vnd.rs-274x",""
"application/vnd.ruckus.download",""
"application/vnd.s3sms",""
"application/vnd.sailingtracker.track",".st"
"application/vnd.sbm.cid",""
"application/vnd.sbm.mid2",""
"application/vnd.scribus",""
"application/vnd.sealed.3df",""
"application/vnd.sealed.csf",""
"application/vnd.sealed.doc",""
"application/vnd.sealed.eml",""
"application/vnd.sealed.mht",""
"application/vnd.sealed.net",""
"application/vnd.sealed.ppt",""
"application/vnd.sealed.tiff",""
"application/vnd.sealed.xls",""
"application/vnd.sealedmedia.softseal.html",""
"application/vnd.sealedmedia.softseal.pdf",""
"application/vnd.seemail",".see"
"application/vnd.sema",".sema"
"application/vnd.semd",".semd"
"application/vnd.semf",".semf"
"application/vnd.shade-save-file",""
"application/vnd.shana.informed.formdata",".ifm"
"application/vnd.shana.informed.formtemplate",".itp"
"application/vnd.shana.informed.interchange",".iif"
"application/vnd.shana.informed.package",".ipk"
"application/vnd.shootproof+json",""
"application/vnd.shopkick+json",""
"application/vnd.sigrok.session",".sr"
"application/vnd.SimTech-MindMapper",".twd,.twds"
"application/vnd.siren+json",""
"application/vnd.smaf",".mmf"
"application/vnd.smart.notebook",""
"application/vnd.smart.teacher",".teacher"
"application/vnd.software602.filler.form+xml",""
"application/vnd.software602.filler.form-xml-zip",""
"application/vnd.solent.sdkm+xml",".sdkm,.sdkd"
"application/vnd.spotfire.dxp",".dxp"
"application/vnd.spotfire.sfs",".sfs"
"application/vnd.sqlite3",".sqlite3"
"application/vnd.sss-cod",""
"application/vnd.sss-dtf",""
"application/vnd.sss-ntf",""
"application/vnd.stardivision.calc",".sdc"
"application/vnd.stardivision.draw",".sda"
"application/vnd.stardivision.impress",".sdd"
"application/vnd.stardivision.math",".smf"
"application/vnd.stardivision.writer",".sdw,.vor"
"application/vnd.stardivision.writer-global",".sgl"
"application/vnd.stepmania.package",".smzip"
"application/vnd.stepmania.stepchart",".sm"
"application/vnd.street-stream",""
"application/vnd.sun.wadl+xml",".wadl"
"application/vnd.sun.xml.calc",".sxc"
"application/vnd.sun.xml.calc.template",".stc"
"application/vnd.sun.xml.draw",".sxd"
"application/vnd.sun.xml.draw.template",".std"
"application/vnd.sun.xml.impress",".sxi"
"application/vnd.sun.xml.impress.template",".sti"
"application/vnd.sun.xml.math",".sxm"
"application/vnd.sun.xml.writer",".sxw"
"application/vnd.sun.xml.writer.global",".sxg"
"application/vnd.sun.xml.writer.template",".stw"
"application/vnd.sus-calendar",".sus,.susp"
"application/vnd.svd",".svd"
"application/vnd.swiftview-ics",""
"application/vnd.sycle+xml",""
"application/vnd.syft+json",""
"application/vnd.symbian.install",".sis,.sisx"
"application/vnd.syncml+xml",".xsm"
"application/vnd.syncml.dm+wbxml",".bdm"
"application/vnd.syncml.dm+xml",".xdm"
"application/vnd.syncml.dm.notification",""
"application/vnd.syncml.dmddf+wbxml",""
"application/vnd.syncml.dmddf+xml",".ddf"
"application/vnd.syncml.dmtnds+wbxml",""
"application/vnd.syncml.dmtnds+xml",""
"application/vnd.syncml.ds.notification",""
"application/vnd.tableschema+json",".tableschema.json"
"application/vnd.tao.intent-module-archive",".tao"
"application/vnd.tcpdump.pcap",".pcap,.cap,.dmp"
"application/vnd.think-cell.ppttc+json",""
"application/vnd.tml",""
"application/vnd.tmobile-livetv",".tmo"
"application/vnd.tri.onesource",""
"application/vnd.trid.tpt",".tpt"
"application/vnd.triscape.mxs",".mxs"
"application/vnd.trueapp",".tra"
"application/vnd.truedoc",""
"application/vnd.ubisoft.webplayer",""
"application/vnd.ufdl",".ufd,.ufdl"
"application/vnd.uiq.theme",".utz"
"application/vnd.umajin",".umj"
"application/vnd.unity",".unityweb"
"application/vnd.uoml+xml",".uoml"
"application/vnd.uplanet.alert",""
"application/vnd.uplanet.alert-wbxml",""
"application/vnd.uplanet.bearer-choice",""
"application/vnd.uplanet.bearer-choice-wbxml",""
"application/vnd.uplanet.cacheop",""
"application/vnd.uplanet.cacheop-wbxml",""
"application/vnd.uplanet.channel",""
"application/vnd.uplanet.channel-wbxml",""
"application/vnd.uplanet.list",""
"application/vnd.uplanet.list-wbxml",""
"application/vnd.uplanet.listcmd",""
"application/vnd.uplanet.listcmd-wbxml",""
"application/vnd.uplanet.signal",""
"application/vnd.uri-map",""
"application/vnd.valve.source.material",""
"application/vnd.vcx",".vcx"
"application/vnd.vd-study",""
"application/vnd.vectorworks",""
"application/vnd.vel+json",""
"application/vnd.verimatrix.vcas",""
"application/vnd.veryant.thin",""
"application/vnd.ves.encrypted",""
"application/vnd.vidsoft.vidconference",""
"application/vnd.visio",".vsd,.vst,.vss,.vsw"
"application/vnd.visionary",".vis"
"application/vnd.vividence.scriptfile",""
"application/vnd.vsf",".vsf"
"application/vnd.wap.sic",""
"application/vnd.wap.slc",""
"application/vnd.wap.wbxml",".wbxml"
"application/vnd.wap.wmlc",".wmlc"
"application/vnd.wap.wmlscript",".wmls"
"application/vnd.webturbo",".wtb"
"application/vnd.wfa.dpp",""
"application/vnd.wfa.p2p",""
"application/vnd.wfa.wsc",""
"application/vnd.windows.devicepairing",""
"application/vnd.wmc",""
"application/vnd.wmf.bootstrap",""
"application/vnd.wolfram.mathematica",".nb"
"application/vnd.wolfram.mathematica.package",".m"
"application/vnd.wolfram.player",".nbp"
"application/vnd.wordperfect",".wpd"
"application/vnd.wqd",".wqd"
"application/vnd.wrq-hp3000-labelled",""
"application/vnd.wt.stf",".stf"
"application/vnd.wv.csp+wbxml",""
"application/vnd.wv.csp+xml",""
"application/vnd.wv.ssp+xml",""
"application/vnd.xacml+json",""
"application/vnd.xara",".xar"
"application/vnd.xfdl",".xfdl"
"application/vnd.xfdl.webform",""
"application/vnd.xmi+xml",".xmi"
"application/vnd.xmpie.cpkg",""
